"Story","Title","Result","Date","Stability","Duration (s)"
"Product crud test with steps","This will create new product","SUCCESS","2023-01-09T20:53:03.985Z[Europe/London]","0.0","0.05"
"Product crud test with steps","Verify if the student was added to the application","SUCCESS","2023-01-09T20:53:04.034Z[Europe/London]","0.0","0.23"
"Product crud test with steps","Update the user information and verify the updated information","SUCCESS","2023-01-09T20:53:04.260Z[Europe/London]","0.0","0.21"
"Product crud test with steps","Delete the student and verify if the student is deleted!","SUCCESS","2023-01-09T20:53:04.470Z[Europe/London]","0.0","0.03"
"Product crud test with steps2","This will create new product","SUCCESS","2023-01-09T20:53:04.568Z[Europe/London]","0.0","0.04"
"Product crud test with steps2","This test will Update the product information","FAILURE","2023-01-09T20:53:04.606Z[Europe/London]","0.0","0.03"
"Product crud test with steps2","Delete the store and verify if the store is deleted!","SUCCESS","2023-01-09T20:53:04.634Z[Europe/London]","0.0","0.04"
"Store curd test with data driven","This will create new store","SUCCESS","2023-01-09T20:53:05.066Z[Europe/London]","0.0","0.27"
"Store curd test with steps","This will create new store","SUCCESS","2023-01-09T20:53:05.096Z[Europe/London]","0.0","0.14"
"Store curd test with steps","Verify if the store was added to the application","SUCCESS","2023-01-09T20:53:05.241Z[Europe/London]","0.0","0.07"
"Store curd test with steps","Update the user information and verify the updated information","SUCCESS","2023-01-09T20:53:05.308Z[Europe/London]","0.0","0.08"
"Store curd test with steps","Delete the store and verify if the student is deleted!","SUCCESS","2023-01-09T20:53:05.391Z[Europe/London]","0.0","0.09"
"Tags test product","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-09T20:53:05.589Z[Europe/London]","0.0","0.02"
"Tags test product","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-09T20:53:05.608Z[Europe/London]","0.0","0.23"
"Tags test product","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-09T20:53:05.843Z[Europe/London]","0.0","0.03"
"Tags test store","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-09T20:53:05.909Z[Europe/London]","0.0","0.01"
"Tags test store","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-09T20:53:05.922Z[Europe/London]","0.0","0.07"
"Tags test store","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-09T20:53:05.988Z[Europe/London]","0.0","0.03"
"BestBuy Application","Create a new product & verify if the product is added","SUCCESS","2023-01-09T20:52:58.607Z[Europe/London]","0.0","0.94"
"BestBuy Application","Update an exciting product & verify that product  is updated","SUCCESS","2023-01-09T20:52:59.595Z[Europe/London]","0.0","0.09"
"BestBuy Application","Delete an exciting product & verify that product is deleted","SUCCESS","2023-01-09T20:52:59.753Z[Europe/London]","0.0","0.07"
"BestBuy Application","Check if the BestBuy application can be accessed by users","SUCCESS","2023-01-09T20:53:00.351Z[Europe/London]","0.0","0.09"
"BestBuy Application","Create a new store & verify if the store is added","SUCCESS","2023-01-09T20:53:00.536Z[Europe/London]","0.0","0.14"
"BestBuy Application","Update an exciting store & verify that store is updated","SUCCESS","2023-01-09T20:53:00.776Z[Europe/London]","0.0","0.05"
"BestBuy Application","Delete an exciting store & verify that store is deleted","SUCCESS","2023-01-09T20:53:01.019Z[Europe/London]","0.0","0.04"
"BestBuy Application","CRUD Test","SUCCESS","2023-01-09T20:53:01.660Z[Europe/London]","0.0","0.17"
